current_density,bath_temp,acid_conc,dye_time,dE00,thickness_um
1.2,17.0,180.0,12.0,0.524959625348,8.14962710168
1.2,23.0,180.0,12.0,0.31075155589,6.64780389435
1.8,17.0,180.0,12.0,0.146606512852,12.751563428
1.8,23.0,180.0,12.0,0.147316009008,10.8815853146
1.2,20.0,165.0,12.0,0.357292474739,7.67294754371
1.2,20.0,195.0,12.0,0.30300497228,7.22056065921
1.8,20.0,165.0,12.0,0.0681521100396,12.1460296529
1.8,20.0,195.0,12.0,0.0680946415844,11.5831962965
1.2,20.0,180.0,9.0,0.766422370594,7.44675410146
1.2,20.0,180.0,15.0,0.162758151141,7.44675410146
1.8,20.0,180.0,9.0,0.027408698881,11.8646129747
1.8,20.0,180.0,15.0,0.0616837009495,11.8646129747
1.5,17.0,165.0,12.0,0.19338958583,10.6765071505
1.5,17.0,195.0,12.0,0.101564571583,10.2246833791
1.5,23.0,165.0,12.0,0.0980725416722,9.05439927308
1.5,23.0,195.0,12.0,0.177816799658,8.47498993583
1.5,17.0,180.0,9.0,0.272685142041,10.4505952648
1.5,17.0,180.0,15.0,0.13852298166,10.4505952648
1.5,23.0,180.0,9.0,0.159107290078,8.76469460445
1.5,23.0,180.0,15.0,0.142180615684,8.76469460445
1.5,20.0,165.0,9.0,0.143989282189,9.9094885983
1.5,20.0,165.0,15.0,0.0503474169684,9.9094885983
1.5,20.0,195.0,9.0,0.10867857319,9.40187847788
1.5,20.0,195.0,15.0,0.0535411363023,9.40187847788
1.5,20.0,180.0,12.0,0.0,9.65568353809
1.5,20.0,180.0,12.0,0.0,9.65568353809
1.5,20.0,180.0,12.0,0.0,9.65568353809
